Front,Right,Left,Action
53,20,12,A
53,20,12,A
53,20,12,A
53,20,12,A
49,19,12,A
49,19,12,A
49,19,12,A
49,19,12,A
45,20,13,A
45,20,13,A
45,20,13,A
40,21,47,A
40,21,47,A
40,21,47,A
40,21,47,A
35,21,94,A
33,21,95,A
33,21,95,A
32,21,93,A
32,21,94,A
32,22,75,A
32,23,45,A
31,23,46,A
32,25,43,A
32,25,43,A
32,25,43,A
32,27,45,A
32,27,45,A
32,27,45,A
32,27,45,A
33,26,44,A
33,26,44,A
33,26,44,A
33,26,44,A
35,27,26,A
35,27,26,A
35,27,26,A
35,27,26,A
83,28,22,A
83,28,22,A
83,28,22,A
83,28,22,A
83,28,22,A
110,42,24,A
110,42,24,A
110,42,24,A
110,42,24,A
66,41,23,A
66,41,23,A
66,41,23,A
66,41,23,A
65,41,20,A
65,41,20,A
65,41,20, 
65,41,20, 
65,34,24, 
65,34,24, 
64,34,19, 
64,34,19, 
64,34,19,W
64,34,19,W
64,34,19,W
64,32,21,W
64,32,21,W
64,32,21,W
64,32,21,W
64,32,21,W
64,32,21,W
68,32,20,W
68,32,20,W
68,32,20,W
68,32,20,W
66,32,20,W
66,32,20,W
66,32,20,W
66,32,20,W
120,33,22,W
120,33,22,W
120,33,22,W
119,33,18,W
119,33,18,W
119,33,18,W
119,33,18,W
119,33,18,W
69,34,23,W
69,34,23,W
69,34,23,W
69,34,23,W
118,35,69,W
118,35,69,W
118,34,70,W
118,34,70,W
118,34,70,W
118,35,59,W
117,34,17,W
67,34,15,W
113,34,22,W
110,34,6,W
107,34,5,W
107,34,5,W
107,34,5,W
107,34,5,W
103,32,4,W
103,32,4,W
103,32,4,W
99,32,6,W
99,32,6,W
99,32,6,W
99,32,6,W
99,32,6,W
95,32,6,W
95,32,6,W
95,32,6,W
95,32,6,W
91,31,7,W
91,31,7,W
91,31,7,W
87,32,9,W
87,32,9,W
87,32,9,W
87,32,9,W
87,32,9,W
87,32,9,W
83,31,8,W
83,31,8,W
83,31,8,W
83,31,8,W
79,31,7,W
79,31,7,W
79,31,7,W
75,31,10,W
75,31,10,W
75,31,10,W
75,31,10,W
70,31,7,W
70,31,7, 
70,31,7, 
70,31,7, 
70,31,7, 
66,30,8, 
66,30,8, 
66,30,8, 
66,30,8, 
66,30,8, 
62,31,10, 
62,31,10,A
62,31,10,A
62,31,10,A
58,31,9,A
58,31,9,A
58,31,9,A
58,31,9,A
54,32,10,A
54,32,10,A
54,32,10,A
54,32,10,A
49,32,11,A
49,32,11,A
49,32,11,A
45,32,16,A
45,32,16,A
45,32,16,A
45,32,16,W
45,32,16,W
45,32,16,W
41,31,58,W
41,31,58,W
41,31,58,W
41,31,58,W
38,31,58,W
38,31,58,W
38,31,58,W
38,31,58,W
38,31,58,W
32,30,56,W
29,30,76,W
29,30,60,W
29,30,60, 
28,30,72, 
28,31,56, 
28,32,57, 
29,33,56, 
29,35,59, 
28,34,59,W
28,34,59,W
29,37,58,W
29,37,58,W
29,37,58,W
98,39,59,W
98,39,59,W
98,39,59,W
98,39,59,W
55,40,65,W
49,42,57,W
49,42,57,W
49,42,57,W
49,51,68,W
49,51,68,W
49,51,68,W
49,51,68,W
49,52,62,W
49,52,62,W
49,52,62,W
49,52,62,W
80,53,73,W
80,53,73,W
80,53,73,W
80,53,73,W
79,34,36,W
79,34,36,W
79,34,36,W
79,33,16,W
79,33,16,W
79,33,16,W
78,33,22,W
78,33,22,W
78,33,22,W
78,33,22,W
78,33,22,W
78,33,15,W
75,32,13,W
75,32,13,W
74,31,14,W
73,31,11,W
73,31,11,A
72,31,11,A
72,31,13,A
69,31,12,A
65,30,13,A
62,27,16,A
58,26,25,A
58,26,25,A
58,26,25,A
58,26,25,A
59,26,16,A
59,26,16,A
59,26,16,A
52,25,23,A
52,25,23,A
52,25,23,A
48,24,19,A
48,24,19,A
58,25,22,A
58,25,22,A
58,25,22,A
58,25,22,A
58,25,22,A
55,25,24,A
55,25,24,A
55,25,24,A
36,16,22,A
36,16,22,A
36,16,22,A
36,16,22,A
36,16,22,A
36,16,22,A
36,14,23,A
36,14,23,A
36,14,23,A
36,14,23,A
42,41,29,A
42,41,29,A
42,41,29,A
37,11,29,W
37,11,29,W
35,11,29,W
32,8,29,W
31,10,54,W
31,9,55,W
29,11,56,W
29,11,56,W
31,14,30,W
31,14,30,W
31,14,30,W
31,14,30,W
30,14,25, 
30,14,25, 
30,14,25, 
30,14,25, 
30,14,25, 
71,17,56, 
71,17,56, 
71,17,56, 
71,17,56, 
33,20,74,A
33,20,74,A
33,20,74,A
33,20,74,A
35,20,56,A
35,20,56,A
35,20,56,A
35,20,56,A
36,21,57,A
36,21,57,A
36,21,57,A
-1,27,50,A
-1,24,50,A
-1,24,50,A
-1,24,50,A
-1,33,99,A
124,25,56, 
-1,28,57, 
-1,28,56, 
-1,28,56, 
80,33,81, 
80,33,81, 
-1,30,25, 
-1,60,17, 
-1,176,15, 
55,19,15, 
78,20,12, 
101,24,14, 
101,24,14, 
101,28,11, 
101,28,11, 
101,28,11, 
100,28,11, 
100,22,86, 
97,19,23, 
94,19,11,A
90,16,12,A
90,16,12,A
86,16,15,A
86,16,15,A
83,16,22,W
83,16,22,W
80,46,15,W
79,15,16,W
79,15,16,W
79,15,16,W
79,15,16,W
79,15,15,W
78,15,14,W
78,15,14,W
77,15,16,W
77,15,15,W
77,15,15,W
77,15,15,W
77,15,14,W
75,14,15,W
71,15,15,W
69,15,17,W
65,15,16,W
61,19,16,W
61,19,16, 
61,19,16, 
56,15,16, 
56,15,16, 
56,15,16, 
56,15,16, 
56,15,16, 
53,15,15, 
53,15,15, 
53,15,15, 
53,15,15, 
49,17,18,A
49,17,18,A
49,17,18,A
49,17,18,A
44,15,20,A
44,15,20,A
44,15,20,A
44,15,20,A
44,15,20,A
40,14,22,A
40,14,22,A
40,14,22,A
36,14,21,A
36,14,21,A
36,14,21,A
36,14,21,A
31,54,32,A
30,34,122,A
30,34,122,A
30,14,36,A
29,26,34,A
28,13,32,A
27,14,30,A
29,15,29,A
29,18,29,A
29,18,29,A
29,18,29,A
29,18,29, 
27,21,24, 
27,21,24, 
27,21,24, 
27,21,24, 
29,20,26, 
29,20,26, 
29,20,26, 
29,20,26, 
29,20,26, 
53,21,19,A
53,21,19,A
53,21,19, 
53,21,19, 
50,24,19, 
50,24,19, 
50,24,19, 
50,24,19, 
49,25,65, 
49,25,65, 
49,25,65, 
49,25,65, 
50,30,66,W
50,30,66,W
50,30,66,W
50,30,66,W
55,29,69,W
55,29,69,W
55,29,69,W
113,29,69,W
113,29,69,W
113,29,69,W
113,29,69,W
113,33,110,W
113,33,110,W
113,34,63,W
111,30,84,W
109,27,72,W
106,26,55,W
102,23,10,W
102,23,10,W
102,23,10,W
102,23,10,W
99,22,11,W
98,21,13,W
98,21,13,W
97,21,14,W
97,21,14,W
96,21,13,W
96,22,13,W
96,22,13,W
96,20,12,W
95,20,8,W
92,20,11,W
89,21,9,W
85,25,11,W
81,23,8,W
81,23,8,W
77,23,10,W
77,23,10,W
77,23,10,W
75,21,10,W
75,21,10,W
74,21,9,W
74,21,9,W
73,22,9,W
73,22,9,W
73,22,9,W
73,22,9, 
73,21,10, 
71,21,9, 
68,21,10, 
64,21,11, 
60,21,11, 
60,21,11, 
56,21,14,A
56,21,14,A
56,21,14,A
56,21,14,A
52,20,13,A
52,20,13,A
52,20,13,A
52,20,13,A
49,19,14,A
49,19,14,A
49,19,14,A
49,19,14,A
44,20,17,A
44,20,17,A
44,20,17,A
44,20,17,A
40,20,46,A
40,20,46,A
40,20,46,A
35,20,94,A
34,19,96,A
34,20,95, 
35,20,95, 
35,20,95, 
35,20,78, 
34,19,61, 
34,20,95, 
35,19,49, 
34,20,48,A
35,21,49,A
35,21,49,A
35,21,49,A
35,21,49,A
35,21,45,A
35,21,45, 
35,21,45, 
35,21,45, 
35,23,26,A
35,23,26,A
35,23,26,A
35,23,26,A
36,25,24,A
36,25,24,A
36,25,24,A
36,25,24,A
88,42,22,A
88,42,22,A
88,42,22,A
88,42,22,A
88,42,22,A
173,42,24,A
173,42,24,A
138,42,24,A
138,42,24,A
70,42,25,A
68,42,22,A
69,37,25,A
69,37,25,A
129,36,26,A
129,36,26,A
134,36,25,A
68,37,22,A
66,35,22,A
66,35,22,A
